,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course,Rank,,Course,Times Played,Maintenance,Fairways,Rough/Waste,Bunkers,Greens,Layout,Difficulty,Aura,Range,Clubhouse/Bar,Playability,Course,Experience,Value,Par,Distance,Index,Slope,Twilight Value,Weekday Morning,Weekday Afternoon,Weekday Twilight,Weekend Morning,Weekend Afternoon,Weekend Twilight,Twilight Time,Rate Calc,Rate Calc Rank,Twilight Rank Calc,Twilight Rank,,Enter Your Handicap,9.8,Expected Score to Par,0 Handicap,9 Handicap,18 Handicap,,,Rating System:,,,,,,,
Fields Ranch at PGA Frisco - East Course,1,,Fields Ranch at PGA Frisco - East Course,0,5.00,4.75,4.75,4.75,4.75,4.75,5.00,4.75,5.00,5.00,4.92,4.82,4.95,1.00,72,7860,78.9,152,1.00,$299.00,$299.00,$299.00,$299.00,$299.00,$299.00,0.13,0.81,1,0.02,1,,,,+24,+9,+23,+37,,,5,PGA Level,,,,,,I've played but don?t remember
Pine Dunes,2,,Pine Dunes,6,4.75,4.50,4.50,4.75,4.75,4.75,4.00,5.00,4.25,4.50,4.49,4.69,4.78,3.50,72,7117,74.4,131,2.00,$89.00,$89.00,$69.00,$139.00,$13.00,$89.00,0.13,2.84,48,0.05,22,,,,+18,+4,+17,+29,,,4.5,Elite,,,,,,Far away
Old American Golf Club,3,,Old American Golf Club,2,4.75,4.75,4.75,4.50,4.75,4.75,4.75,4.50,5.00,5.00,4.70,4.68,4.81,1.25,71,7084,75.2,145,1.75,$175.00,$175.00,$100.00,$175.00,$175.00,$100.00,0.13,1.34,4,0.05,14,,,,+21,+6,+20,+33,,,4,Would play any day of the week,,,,,,With Dad
The Tribute Golf Links,4,,The Tribute Golf Links,10,4.75,4.75,4.75,4.50,4.75,4.75,3.50,4.75,5.00,5.00,4.20,4.64,4.77,1.25,72,7002,73.9,130,3.00,$150.00,$150.00,$70.00,$150.00,$150.00,$70.00,0.13,1.55,5,0.07,42,,,,+17,+4,+16,+29,,,3.5,"Solid course, but has a thing or two I don't love",,,,,,Roommates
Fields Ranch at PGA Frisco - West Course,5,,Fields Ranch at PGA Frisco - West Course,0,5.00,4.50,4.75,4.75,4.75,4.00,4.75,4.50,5.00,5.00,4.58,4.62,4.75,1.25,72,7319,76.3,140,1.00,$244.00,$244.00,$244.00,$244.00,$244.00,$244.00,0.13,0.95,3,0.02,2,,,,+20,+6,+19,+33,,,3,"Average, would play",,,,,,Idk
Waterchase,6,,Waterchase,5,4.50,4.50,4.50,4.25,4.00,4.50,4.50,4.00,3.50,1.50,4.62,4.37,4.34,3.75,72,7159,74.7,135,4.75,$65.00,$65.00,$45.00,$83.00,$83.00,$45.00,0.16,2.96,56,0.10,75,,,,+18,+5,+17,+30,,,2.5,Just another course,,,,,,
Cowboys Golf Club,7,,Cowboys Golf Club,0,4.25,4.50,4.25,4.50,4.50,4.25,4.00,4.50,4.50,4.75,4.21,4.37,4.48,1.00,72,7017,74.2,140,1.50,$259.99,$259.99,$99.99,$259.99,$259.99,$99.99,0.17,0.84,2,0.04,11,,,,+18,+4,+17,+31,,,2,Below average layout and conditions,,,,,,
Texas Star Golf Course,8,,Texas Star Golf Course,6,4.50,4.50,4.50,4.50,4.50,4.50,4.00,4.00,4.25,4.50,4.21,4.37,4.46,3.75,71,6936,74.1,136,4.00,$65.00,$65.00,$45.00,$85.00,$85.00,$55.00,0.13,2.91,54,0.08,59,,,,+19,+5,+18,+31,,,1.5,Not good,,,,,,
Coyote Ridge,9,,Coyote Ridge,2,4.50,4.50,4.25,4.50,4.25,4.50,4.50,4.00,4.50,4.50,4.45,4.37,4.47,3.25,72,7003,75.2,141,2.00,$69.00,$69.00,$69.00,$89.00,$89.00,$89.00,x,2.76,46,0.05,18,,,,+19,+5,+18,+32,,,,,,,,,,
Wild Horse Golf Club,10,,Wild Horse Golf Club,1,4.50,4.50,4.25,4.25,4.50,4.00,3.00,4.50,4.75,5.00,3.66,4.28,4.40,2.25,72,6891,73.7,134,2.25,$112.00,$84.00,$66.00,$112.00,$77.00,$77.00,0.08,2.22,23,0.06,26,,,,+17,+4,+16,+29,,,,,,,,,,
The Golf Club at Fossil Creek,11,,The Golf Club at Fossil Creek,2,4.25,4.25,4.00,4.00,4.25,4.75,3.75,4.50,4.00,4.00,4.13,4.27,4.34,3.00,72,6865,73.8,137,3.75,$69.95,$69.95,$49.95,$94.95,$94.95,$55.95,0.13,2.59,38,0.08,56,,,,+18,+4,+17,+30,,,,,,,,,,
Texas Rangers Golf Club,12,,Texas Rangers Golf Club,3,4.50,4.50,4.50,4.25,4.50,4.00,3.00,4.00,4.50,4.75,3.79,4.24,4.34,1.75,72,7010,73.7,132,1.50,$95.00,$95.00,$71.50,$130.00,$130.00,$93.50,0.17,1.88,14,0.05,12,,,,+17,+4,+16,+29,,,,,Short Courses:,,,,,
Heritage Ranch Golf & Country Club,13,,Heritage Ranch Golf & Country Club,1,4.25,4.25,4.25,4.50,4.25,4.25,4.00,4.00,4.25,4.25,4.18,4.22,4.30,1.75,72,6988,74.0,140,1.75,$108.00,$86.00,$65.00,$132.00,$117.00,$91.00,0.13,1.90,15,0.05,13,,,,+18,+4,+17,+30,,,,,Watters Creek has a par 3 and a nine hole,,,,,
Tangle Ridge Golf Club,14,,Tangle Ridge Golf Club,7,4.25,4.25,4.00,4.00,4.00,4.50,3.00,4.50,4.00,4.00,3.76,4.17,4.24,4.25,72,6835,73.4,133,4.75,$55.00,$55.00,$35.00,$75.00,$75.00,$45.00,0.17,3.21,64,0.09,74,,,,+17,+3,+16,+29,,,,,Lake Park has a 9 hole,,,,,
Woodbridge Golf Club,15,,Woodbridge Golf Club,1,4.25,4.25,4.25,3.75,4.00,4.25,4.25,3.75,4.50,4.25,4.38,4.13,4.22,4.25,72,7088,75.1,135,4.75,$54.00,$48.00,$43.00,$79.00,$67.00,$45.00,0.08,3.33,67,0.09,73,,,,+19,+5,+18,+31,,,,,Stewart Penninsula,,,,,
Buffalo Creek Golf Club,16,,Buffalo Creek Golf Club,4,4.25,4.25,4.25,4.50,4.25,4.25,4.00,3.25,4.00,3.00,4.28,4.11,4.14,3.75,71,7078,74.9,132,4.50,$59.00,$49.00,$39.00,$99.00,$69.00,$49.00,0.17,2.98,57,0.08,68,,,,+19,+6,+18,+31,,,,,Turning Point - Hidden Creek is a 9 hole,,,,,
The Bridges Golf Club (Gunter),17,,The Bridges Golf Club (Gunter),1,4.25,4.25,4.25,3.75,4.25,3.75,5.00,3.50,3.75,3.75,4.58,4.10,4.15,3.00,72,7612,77.7,139,2.50,$69.00,$69.00,$59.00,$89.00,$89.00,$72.00,0.08,2.59,39,0.06,28,,,,+22,+8,+21,+34,,,,,Meadowbrook Park,,,,,
Tierra Verde,18,,Tierra Verde,2,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,3.75,3.96,4.03,2.75,72,6975,73.9,129,2.50,$65.00,$65.00,$47.50,$90.00,$90.00,$69.50,0.17,2.55,37,0.06,29,,,,+17,+4,+16,+28,,,,,,,,,,
Waterview Golf Club,19,,Waterview Golf Club,5,3.75,4.00,4.00,4.25,4.00,4.25,3.50,3.50,4.00,3.75,4.24,3.96,4.02,4.50,72,7191,74.1,128,4.00,$55.00,$50.00,$47.00,$69.00,$59.00,$49.00,0.08,3.40,69,0.08,61,,,,+17,+4,+16,+28,,,,,,,,,,
Pecan Hollow Golf Course,20,,Pecan Hollow Golf Course,2,4.00,4.25,4.25,3.50,4.25,3.75,4.50,3.00,4.25,3.75,4.36,3.91,3.98,5.00,71,7152,75.4,141,4.75,$46.55,$41.14,$32.48,$66.03,$51.96,$38.97,0.13,3.81,78,0.10,76,,,,+21,+6,+20,+33,,,,,,,,,,
Bridlewood Golf Club,21,,Bridlewood Golf Club,0,4.00,4.00,3.75,3.75,4.00,4.00,3.00,3.75,3.75,4.00,3.90,3.90,3.96,1.50,72,7111,73.6,130,1.50,$89.00,$79.00,$69.00,$135.00,$125.00,$99.00,0.15,1.82,12,0.04,8,,,,+17,+4,+16,+28,,,,,,,,,,
Cedar Crest Golf Course,22,,Cedar Crest Golf Course,31,3.75,3.75,3.75,3.75,4.00,4.50,3.50,4.00,3.75,4.25,3.81,3.88,3.95,5.00,70,6726,73.8,134,5.00,$31.00,$23.00,$23.00,$34.00,$26.00,$26.00,x,6.81,80,0.15,80,,,,+19,+6,+18,+31,,,,,,,,,,
Sky Creek Ranch Golf Club,23,,Sky Creek Ranch Golf Club,1,3.75,4.00,3.00,3.75,4.00,4.25,3.50,4.00,4.00,4.75,3.98,3.87,3.96,2.00,72,6953,73.4,136,1.75,$65.00,$65.00,$59.00,$135.00,$109.00,$79.00,0.17,2.07,18,0.05,17,,,,+17,+3,+16,+29,,,,,,,,,,
Grapevine Golf Course,24,,Grapevine Golf Course,0,3.75,3.75,3.50,3.50,3.75,4.25,3.50,4.25,3.75,3.75,3.95,3.87,3.92,3.50,72,6934,74.1,134,3.25,$60.00,$60.00,$46.00,$75.00,$75.00,$55.00,0.13,2.86,50,0.07,47,,,,+18,+4,+17,+29,,,,,,,,,,
Tenison Park Golf Course - Highlands Course,25,,Tenison Park Golf Course - Highlands Course,25,3.75,3.75,3.50,3.75,4.00,4.25,3.00,4.00,3.00,3.25,3.95,3.87,3.87,4.75,72,7078,73.9,129,4.00,$57.27,$47.11,$40.65,$64.27,$54.11,$47.65,0.13,3.47,73,0.08,62,,,,+17,+4,+16,+28,,,,,,,,,,
Mansfield National Golf Club,26,,Mansfield National Golf Club,3,4.00,4.25,4.25,3.50,3.50,4.00,2.00,3.50,4.00,3.25,3.28,3.78,3.82,3.25,72,6850,72.7,128,3.50,$54.95,$54.95,$39.95,$79.95,$79.95,$52.95,0.13,2.80,47,0.07,49,,,,+16,+3,+15,+27,,,,,,,,,,
The Trails of Frisco Golf Club,27,,The Trails of Frisco Golf Club,2,4.00,4.00,3.75,3.50,4.25,3.75,4.00,3.00,2.00,3.25,3.98,3.77,3.74,3.25,71,6959,74.0,138,4.25,$59.00,$59.00,$45.00,$89.00,$69.00,$45.00,0.17,2.73,45,0.08,66,,,,+19,+5,+18,+31,,,,,Other:,,,,,
Ridgeview Ranch Golf Club,28,,Ridgeview Ranch Golf Club,2,3.50,4.50,3.75,3.75,3.50,4.25,3.25,3.00,4.00,3.75,3.97,3.77,3.82,4.00,72,7025,74.1,130,4.25,$50.95,$50.95,$37.95,$71.95,$71.95,$44.95,0.08,3.06,60,0.08,67,,,,+17,+4,+16,+29,,,,,Pecan Valley,,,,,
Firewheel Golf Park - Bridges Course,29,,Firewheel Golf Park - Bridges Course,1,4.00,3.75,4.00,3.50,3.75,4.00,3.25,3.50,3.75,3.50,3.66,3.76,3.80,4.00,72,6819,72.7,131,4.25,$55.00,$55.00,$42.00,$69.00,$69.00,$45.00,0.13,3.03,58,0.08,65,,,,+16,+3,+15,+28,,,,,,,,,,
Sherrill Park Golf Course - Course 1,30,,Sherrill Park Golf Course - Course 1,1,4.00,3.75,4.00,3.50,3.25,3.50,4.00,3.50,4.75,3.75,3.96,3.72,3.81,4.50,72,7016,74.4,132,4.50,$54.00,$43.00,$40.00,$68.00,$53.00,$43.00,0.17,3.42,71,0.09,71,,,,+18,+4,+17,+29,,,,,,,,,,
Tour 18 Dallas,31,,Tour 18 Dallas,1,3.00,3.50,3.75,3.25,3.25,4.25,4.00,4.25,4.00,4.25,4.23,3.71,3.78,1.50,72,7033,75.2,140,1.25,$99.00,$74.00,$74.00,$135.00,$135.00,$95.00,x,1.67,9,0.04,6,,,,+19,+5,+18,+32,,,,,,,,,,
Indian Creek Golf Club - Creek Course,32,,Indian Creek Golf Club - Creek Course,2,3.75,3.50,3.50,3.25,3.50,3.50,4.50,3.50,3.50,3.50,4.33,3.66,3.69,2.50,72,7235,75.5,141,2.50,$67.00,$67.00,$52.00,$80.00,$80.00,$63.00,0.08,2.49,31,0.06,31,,,,+20,+6,+19,+32,,,,,,,,,,
Frisco Lakes Golf Club,33,,Frisco Lakes Golf Club,0,3.75,3.75,3.25,3.50,3.50,3.50,3.50,3.50,3.75,3.75,3.92,3.63,3.68,1.50,72,7129,74.3,131,2.25,$94.00,$74.00,$66.00,$132.00,$105.00,$66.00,0.13,1.79,10,0.06,25,,,,+18,+4,+17,+29,,,,,,,,,,
Thorntree Golf Club,34,,Thorntree Golf Club,4,3.50,3.50,3.50,3.50,3.50,4.50,4.50,2.50,3.50,3.50,4.49,3.58,3.62,4.50,72,7042,74.9,146,3.50,$50.00,$38.00,$38.00,$70.00,$50.00,$50.00,,3.44,72,0.07,51,,,,+20,+5,+19,+32,,,,,,,,,,
WestRidge Golf Course,35,,WestRidge Golf Course,0,3.25,3.25,3.50,3.50,3.50,4.25,3.00,3.50,3.50,3.50,3.91,3.55,3.58,1.75,72,7043,74.0,131,2.00,$89.00,$65.00,$65.00,$125.00,$69.00,$69.00,,2.04,17,0.05,21,,,,+17,+4,+16,+29,,,,,,,,,,
The Courses at Watters Creek - Traditions Course,36,,The Courses at Watters Creek - Traditions Course,0,3.50,3.25,3.50,3.50,3.50,3.50,4.00,3.50,3.50,3.50,3.96,3.54,3.57,3.25,72,7015,74.4,136,1.75,$55.00,$55.00,$55.00,$75.00,$75.00,$75.00,x,2.72,43,0.05,16,,,,+18,+4,+17,+30,,,,,,,,,,
Bear Creek Golf Club - West Course,37,,Bear Creek Golf Club - West Course,1,3.50,3.50,3.75,3.00,3.00,4.00,4.00,3.50,3.00,3.50,3.75,3.52,3.54,2.25,72,6677,73.7,140,3.25,$64.95,$64.95,$44.95,$86.95,$86.95,$52.95,0.13,2.32,27,0.07,43,,,,+18,+4,+17,+30,,,,,,,,,,
